artifact_name,object_type
哥窑米黄釉葵瓣口盘,葵口盘
哥窑米黄釉葵瓣口盘,瓷（陶瓷）
哥窑米黄釉葵瓣口盘,米黄釉盘
哥窑米黄釉葵瓣口盘,陶瓷
哥窑米黄釉葵瓣口盘,颜色釉瓷
哥窑青灰釉菊瓣式盘,瓷器
哥窑青灰釉菊瓣式盘,盘（容器）
哥窑青灰釉菊瓣式盘,瓷盘
哥窑青灰釉菊瓣式盘,菊瓣盘
哥窑青灰釉菊瓣式盘,瓷（陶瓷）
哥窑青灰釉菊瓣式盘,陶瓷
哥窑青灰釉葵瓣口洗,瓷器
哥窑青灰釉葵瓣口洗,器皿
哥窑青灰釉葵瓣口洗,洗（容器）
哥窑青灰釉葵瓣口洗,瓷洗
哥窑青灰釉葵瓣口洗,瓷（陶瓷）
哥窑青灰釉葵瓣口洗,葵口洗
哥窑青灰釉葵瓣口洗,陶瓷
哥窑青釉海棠花式盆,器皿
哥窑青釉海棠花式盆,盆（容器）
哥窑青釉海棠花式盆,瓷盆
哥窑青釉海棠花式盆,瓷（陶瓷）
哥窑青釉海棠花式盆,海棠式盆
哥窑青釉海棠花式盆,青瓷
哥窑青釉海棠花式盆,青釉盆
哥窑青釉海棠花式盆,陶瓷
哥窑青釉海棠花式盆,颜色釉瓷
哥窑青釉双耳彝炉,炉（容器）
哥窑青釉双耳彝炉,瓷炉
哥窑青釉双耳彝炉,瓷（陶瓷）
哥窑青釉双耳彝炉,耳炉
哥窑青釉双耳彝炉,青瓷
哥窑青釉双耳彝炉,青釉炉
哥窑青釉双耳彝炉,双耳炉
哥窑青釉双耳彝炉,陶瓷
哥窑青釉双耳彝炉,颜色釉瓷
哥窑青釉双耳彝炉,彝炉
哥窑青釉贯耳瓶,器皿
哥窑青釉贯耳瓶,瓶（容器）
哥窑青釉贯耳瓶,瓷瓶
哥窑青釉贯耳瓶,瓷（陶瓷）
哥窑青釉贯耳瓶,耳瓶
哥窑青釉贯耳瓶,贯耳瓶
哥窑青釉贯耳瓶,青瓷
